ln(Coverage_Amount),Term_Length,Age,Is_Male,Is_Smoker,Is_UK,Premium (£),ln(Premium)
11.512925464970229,15,20,0,1,0,13.25,2.583997552432231
11.512925464970229,15,20,0,1,0,14.89,2.7006898466959175
11.512925464970229,15,20,0,1,0,15.94,2.768831673362069
11.512925464970229,15,20,0,1,0,16.06,2.7763317085186157
11.512925464970229,15,20,0,1,0,21.78,3.0809921175048145
11.512925464970229,15,20,0,0,0,6.41,1.8578592709325787
11.512925464970229,15,20,0,0,0,6.91,1.9329696377795786
11.512925464970229,15,20,0,0,0,9.47,2.248128907197987
11.512925464970229,15,20,0,0,0,12.86,2.554121718809473
11.512925464970229,15,20,0,0,0,13.35,2.5915163848462583
11.512925464970229,15,30,1,1,0,16.17,2.783157673589016
11.512925464970229,15,30,1,1,0,20.06,2.9987277825337895
11.512925464970229,15,30,1,1,0,23.96,3.1763857732472487
11.512925464970229,15,30,1,1,0,24.23,3.1875915348284343
11.512925464970229,15,30,1,1,0,24.5,3.1986731175506815
11.512925464970229,15,30,1,0,0,7.36,1.9960599327407849
11.512925464970229,15,30,1,0,0,7.6,2.028148247292285
11.512925464970229,15,30,1,0,0,13.07,2.570319527636131
11.512925464970229,15,30,1,0,0,15.48,2.739548868161581
11.512925464970229,15,30,1,0,0,16.65,2.8124102164264526
11.512925464970229,15,30,0,1,0,13.76,2.6217658325051976
11.512925464970229,15,30,0,1,0,18.18,2.900322088749333
11.512925464970229,15,30,0,1,0,21.15,3.0516399054922867
11.512925464970229,15,30,0,1,0,22.2,3.100092288878234
11.512925464970229,15,30,0,1,0,22.44,3.110845080654496
11.512925464970229,15,30,0,0,0,6.41,1.8578592709325787
11.512925464970229,15,30,0,0,0,6.74,1.9080599249242156
11.512925464970229,15,30,0,0,0,10.32,2.334083760053417
11.512925464970229,15,30,0,0,0,14.88,2.700018029404946
11.512925464970229,15,30,0,0,0,15.73,2.7555697170701863
11.512925464970229,15,40,1,1,0,23.97,3.176803048446293
11.512925464970229,15,40,1,1,0,36.04,3.584629432740137
11.512925464970229,15,40,1,1,0,41.13,3.716737782242333
11.512925464970229,15,40,1,1,0,46.49,3.8392372357024933
11.512925464970229,15,40,1,1,0,47.15,3.8533340090794663
11.512925464970229,15,40,1,0,0,7.96,2.0744289998562917
11.512925464970229,15,40,1,0,0,9.03,2.200552367428894
11.512925464970229,15,40,1,0,0,20.9,3.039749158970765
11.512925464970229,15,40,1,0,0,22.26,3.102791345847399
